source,target,attributes,relation_type
235202,237314,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235202,237334,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235202,237355,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235202,237395,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235202,237375,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235202,237416,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235222,237314,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235222,237334,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235222,237355,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235222,237395,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235222,237375,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235222,237416,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235262,237314,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235262,237334,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235262,237355,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235262,237395,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235262,237375,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235262,237416,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235242,237314,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235242,237334,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235242,237355,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235242,237395,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235242,237375,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
235242,237416,"{'time': 2.360190352500001, 'inv_time': 0.42369463926533}",RELATED_TO
237314,269946,"{'time': 4.841279999999999, 'inv_time': 0.2065569436182167}",RELATED_TO
237314,270530,"{'time': 9.682559999999999, 'inv_time': 0.10327847180910835}",RELATED_TO
237314,270700,"{'time': 62.93663999999999, 'inv_time': 0.015888995662939748}",RELATED_TO
237314,271832,"{'time': 29.04768, 'inv_time': 0.03442615726970278}",RELATED_TO
237334,269946,"{'time': 4.841279999999999, 'inv_time': 0.2065569436182167}",RELATED_TO
237334,270530,"{'time': 9.682559999999999, 'inv_time': 0.10327847180910835}",RELATED_TO
237334,270700,"{'time': 62.93663999999999, 'inv_time': 0.015888995662939748}",RELATED_TO
237334,271832,"{'time': 29.04768, 'inv_time': 0.03442615726970278}",RELATED_TO
237355,269946,"{'time': 4.841279999999999, 'inv_time': 0.2065569436182167}",RELATED_TO
237355,270530,"{'time': 9.682559999999999, 'inv_time': 0.10327847180910835}",RELATED_TO
237355,270700,"{'time': 62.93663999999999, 'inv_time': 0.015888995662939748}",RELATED_TO
237355,271832,"{'time': 29.04768, 'inv_time': 0.03442615726970278}",RELATED_TO
237395,269946,"{'time': 4.841279999999999, 'inv_time': 0.2065569436182167}",RELATED_TO
237395,270530,"{'time': 9.682559999999999, 'inv_time': 0.10327847180910835}",RELATED_TO
237395,270700,"{'time': 62.93663999999999, 'inv_time': 0.015888995662939748}",RELATED_TO
237395,271832,"{'time': 29.04768, 'inv_time': 0.03442615726970278}",RELATED_TO
237375,269946,"{'time': 4.841279999999999, 'inv_time': 0.2065569436182167}",RELATED_TO
237375,270530,"{'time': 9.682559999999999, 'inv_time': 0.10327847180910835}",RELATED_TO
237375,270700,"{'time': 62.93663999999999, 'inv_time': 0.015888995662939748}",RELATED_TO
237375,271832,"{'time': 29.04768, 'inv_time': 0.03442615726970278}",RELATED_TO
237416,269946,"{'time': 4.841279999999999, 'inv_time': 0.2065569436182167}",RELATED_TO
237416,270530,"{'time': 9.682559999999999, 'inv_time': 0.10327847180910835}",RELATED_TO
237416,270700,"{'time': 62.93663999999999, 'inv_time': 0.015888995662939748}",RELATED_TO
237416,271832,"{'time': 29.04768, 'inv_time': 0.03442615726970278}",RELATED_TO
269946,239199,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239233,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239311,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239323,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239334,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239511,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239533,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239557,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239567,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239623,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239635,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239647,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239669,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239781,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239803,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239759,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
269946,239849,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239199,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239233,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239311,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239323,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239334,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239511,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239533,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239557,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239567,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239623,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239635,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239647,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239669,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239781,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239803,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239759,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
270530,239849,"{'time': 1.6655642200293137, 'inv_time': 0.6003971434871482}",RELATED_TO
